,0
1610,0x98
1611,0x96
1612,0x95
1613,0x94
1614,0x91
1615,0x8f
1616,0x8e
1617,0x8d
1618,0x8f
1619,0x92
1620,0x93
1621,0x91
1622,0x8d
1623,0x8d
1624,0x8f
1625,0x91
1626,0x8f
1627,0x8b
1628,0x88
1629,0x88
1630,0x89
1631,0x88
1632,0x84
1633,0x80
1634,0x7e
1635,0x80
1636,0x86
1637,0x8d
1638,0x8f
1639,0x8c
1640,0x87
1641,0x85
1642,0x88
1643,0x8c
1644,0x8e
1645,0x8f
1646,0x90
1647,0x8f
1648,0x8c
1649,0x86
1650,0x7e
1651,0x7a
1652,0x7c
1653,0x85
1654,0x8a
1655,0x87
1656,0x7f
1657,0x79
1658,0x7b
1659,0x7f
1660,0x81
1661,0x81
1662,0x81
1663,0x81
1664,0x80
1665,0x82
1666,0x85
1667,0x86
1668,0x83
1669,0x7f
1670,0x7f
1671,0x82
1672,0x84
1673,0x83
1674,0x81
1675,0x81
1676,0x81
1677,0x7f
1678,0x7d
1679,0x7f
1680,0x83
1681,0x86
1682,0x82
1683,0x7c
1684,0x7a
1685,0x7d
1686,0x83
1687,0x86
1688,0x84
1689,0x7f
1690,0x7a
1691,0x78
1692,0x77
1693,0x75
1694,0x72
1695,0x72
1696,0x74
1697,0x74
1698,0x71
1699,0x6c
1700,0x6c
1701,0x6f
1702,0x73
1703,0x73
1704,0x6f
1705,0x6a
1706,0x67
1707,0x6a
1708,0x6d
1709,0x6e
1710,0x6e
1711,0x6f
1712,0x75
1713,0x7a
1714,0x7a
1715,0x74
1716,0x6c
1717,0x64
1718,0x61
1719,0x63
1720,0x69
1721,0x6e
1722,0x71
1723,0x72
1724,0x74
1725,0x78
1726,0x7c
1727,0x7e
1728,0x7f
1729,0x7f
1730,0x7e
1731,0x7d
1732,0x80
1733,0x84
1734,0x89
1735,0x8c
1736,0x8c
1737,0x8a
1738,0x88
1739,0x86
1740,0x83
1741,0x81
1742,0x82
1743,0x85
1744,0x89
1745,0x8d
1746,0x8f
1747,0x90
1748,0x8e
1749,0x89
1750,0x86
1751,0x86
1752,0x85
1753,0x83
1754,0x80
1755,0x80
1756,0x83
1757,0x88
1758,0x8b
1759,0x88
1760,0x81
1761,0x7c
1762,0x7a
1763,0x7c
1764,0x7f
1765,0x80
1766,0x81
1767,0x82
1768,0x82
1769,0x82
1770,0x84
1771,0x86
1772,0x84
1773,0x7d
1774,0x73
1775,0x6a
1776,0x66
1777,0x68
1778,0x6d
1779,0x74
1780,0x77
1781,0x75
1782,0x73
1783,0x74
1784,0x7a
1785,0x81
1786,0x85
1787,0x86
1788,0x84
1789,0x80
1790,0x79
1791,0x74
1792,0x76
1793,0x7d
1794,0x84
1795,0x89
1796,0x8b
1797,0x8b
1798,0x88
1799,0x87
1800,0x89
1801,0x8f
1802,0x92
1803,0x8f
1804,0x89
1805,0x85
1806,0x86
1807,0x8c
1808,0x92
1809,0x95
1810,0x97
1811,0x99
1812,0x9c
1813,0x99
1814,0x8f
1815,0x85
1816,0x82
1817,0x89
1818,0x90
1819,0x91
1820,0x8f
1821,0x8f
1822,0x90
1823,0x92
1824,0x90
1825,0x8b
1826,0x84
1827,0x80
1828,0x81
1829,0x84
1830,0x83
1831,0x7f
1832,0x7c
1833,0x7a
1834,0x79
1835,0x78
1836,0x7a
1837,0x81
1838,0x88
1839,0x88
1840,0x84
1841,0x80
1842,0x7f
1843,0x7d
1844,0x79
1845,0x77
1846,0x78
1847,0x7d
1848,0x80
1849,0x7f
1850,0x7d
1851,0x7e
1852,0x84
1853,0x8b
1854,0x90
1855,0x92
1856,0x93
1857,0x95
1858,0x98
1859,0x99
1860,0x9a
1861,0x9a
1862,0x99
1863,0x97
1864,0x94
1865,0x90
1866,0x8a
1867,0x83
1868,0x7f
1869,0x7c
1870,0x7a
1871,0x7b
1872,0x7e
1873,0x82
1874,0x85
1875,0x85
1876,0x84
1877,0x83
1878,0x81
1879,0x80
1880,0x81
1881,0x85
1882,0x8c
1883,0x90
1884,0x8f
1885,0x8d
1886,0x8c
1887,0x8c
1888,0x8a
1889,0x87
1890,0x84
1891,0x81
1892,0x80
1893,0x81
1894,0x84
1895,0x85
1896,0x81
1897,0x7b
1898,0x79
1899,0x7d
1900,0x82
1901,0x83
1902,0x81
1903,0x81
1904,0x83
1905,0x83
1906,0x7f
1907,0x78
1908,0x77
1909,0x7d
1910,0x86
1911,0x8c
1912,0x8c
1913,0x8c
1914,0x8d
1915,0x90
1916,0x90
1917,0x91
1918,0x95
1919,0x97
1920,0x92
1921,0x89
1922,0x89
1923,0x92
1924,0x9d
1925,0xa1
1926,0x9e
1927,0x9b
1928,0x98
1929,0x96
1930,0x98
1931,0x9b
1932,0x99
1933,0x94
1934,0x93
1935,0x97
1936,0x97
1937,0x8f
1938,0x82
1939,0x76
1940,0x71
1941,0x75
1942,0x7f
1943,0x86
1944,0x80
1945,0x78
1946,0x78
1947,0x80
1948,0x84
1949,0x7e
1950,0x79
1951,0x7a
1952,0x7f
1953,0x82
1954,0x82
1955,0x81
1956,0x7f
1957,0x7d
1958,0x7e
1959,0x82
1960,0x84
1961,0x84
1962,0x85
1963,0x87
1964,0x86
1965,0x83
1966,0x7e
1967,0x78
1968,0x71
1969,0x6d
1970,0x6b
1971,0x69
1972,0x69
1973,0x6f
1974,0x78
1975,0x7a
1976,0x72
1977,0x6d
1978,0x73
1979,0x7d
1980,0x82
1981,0x82
1982,0x83
1983,0x86
1984,0x89
1985,0x8b
1986,0x8d
1987,0x8c
1988,0x87
1989,0x80
1990,0x7d
1991,0x7c
1992,0x76
1993,0x6b
1994,0x65
1995,0x68
1996,0x6d
1997,0x6b
1998,0x65
1999,0x62
2000,0x69
2001,0x76
2002,0x84
2003,0x8d
2004,0x8e
2005,0x84
2006,0x71
2007,0x63
2008,0x66
2009,0x7c
2010,0x91
2011,0x96
2012,0x8e
2013,0x84
2014,0x7d
