,0
1390,0x70
1391,0x67
1392,0x5f
1393,0x54
1394,0x47
1395,0x41
1396,0x47
1397,0x4b
1398,0x51
1399,0x55
1400,0x57
1401,0x5b
1402,0x5f
1403,0x62
1404,0x67
1405,0x6d
1406,0x73
1407,0x76
1408,0x74
1409,0x76
1410,0x77
1411,0x76
1412,0x74
1413,0x74
1414,0x76
1415,0x76
1416,0x73
1417,0x74
1418,0x78
1419,0x80
1420,0x88
1421,0x8c
1422,0x8c
1423,0x8f
1424,0x92
1425,0x93
1426,0x98
1427,0x99
1428,0x99
1429,0x96
1430,0x8e
1431,0x87
1432,0x80
1433,0x78
1434,0x71
1435,0x6c
1436,0x67
1437,0x65
1438,0x66
1439,0x65
1440,0x63
1441,0x65
1442,0x6a
1443,0x71
1444,0x78
1445,0x7b
1446,0x7a
1447,0x77
1448,0x77
1449,0x7a
1450,0x78
1451,0x73
1452,0x6f
1453,0x6a
1454,0x62
1455,0x5c
1456,0x55
1457,0x4e
1458,0x4b
1459,0x4a
1460,0x4b
1461,0x4e
1462,0x52
1463,0x59
1464,0x62
1465,0x6d
1466,0x7e
1467,0x8b
1468,0x8e
1469,0x93
1470,0x99
1471,0x9f
1472,0xa7
1473,0xad
1474,0xad
1475,0xad
1476,0xa8
1477,0xa1
1478,0x99
1479,0x8f
1480,0x8f
1481,0x92
1482,0x8c
1483,0x82
1484,0x74
1485,0x66
1486,0x5e
1487,0x59
1488,0x57
1489,0x57
1490,0x54
1491,0x4e
1492,0x48
1493,0x41
1494,0x40
1495,0x43
1496,0x48
1497,0x4f
1498,0x54
1499,0x59
1500,0x5e
1501,0x62
1502,0x66
1503,0x70
1504,0x7a
1505,0x87
1506,0x8f
1507,0x95
1508,0x9c
1509,0xa1
1510,0xaa
1511,0xb0
1512,0xb2
1513,0xb1
1514,0xad
1515,0xa7
1516,0xa3
1517,0x9c
1518,0x95
1519,0x90
1520,0x85
1521,0x7a
1522,0x6f
1523,0x66
1524,0x5f
1525,0x54
1526,0x4d
1527,0x4b
1528,0x4d
1529,0x4d
1530,0x4f
1531,0x55
1532,0x5c
1533,0x66
1534,0x6f
1535,0x74
1536,0x77
1537,0x7a
1538,0x7e
1539,0x82
1540,0x82
1541,0x80
1542,0x7d
1543,0x78
1544,0x76
1545,0x70
1546,0x6c
1547,0x63
1548,0x5e
1549,0x59
1550,0x55
1551,0x54
1552,0x57
1553,0x5b
1554,0x60
1555,0x69
1556,0x70
1557,0x73
1558,0x7a
1559,0x82
1560,0x8e
1561,0x95
1562,0x9a
1563,0x98
1564,0x99
1565,0xa0
1566,0xa8
1567,0xb0
1568,0xae
1569,0xa3
1570,0x99
1571,0x98
1572,0x95
1573,0x8f
1574,0x84
1575,0x74
1576,0x66
1577,0x52
1578,0x44
1579,0x3d
1580,0x3c
1581,0x3d
1582,0x3a
1583,0x32
1584,0x2e
1585,0x2c
1586,0x33
1587,0x3d
1588,0x4a
1589,0x5c
1590,0x6d
1591,0x74
1592,0x7a
1593,0x85
1594,0x93
1595,0xa6
1596,0xb5
1597,0xbc
1598,0xbc
1599,0xb9
1600,0xb8
1601,0xb7
1602,0xb0
1603,0xa8
1604,0xa3
1605,0x98
1606,0x8c
1607,0x7d
1608,0x73
1609,0x6d
1610,0x69
1611,0x63
1612,0x5e
1613,0x5b
1614,0x5c
1615,0x5c
1616,0x58
1617,0x55
1618,0x57
1619,0x58
1620,0x5c
1621,0x5e
1622,0x63
1623,0x67
1624,0x6c
1625,0x69
